Datum,Verfahren,Formale Leitung,Tatsaechliche Leitung,Aktenbezug,Notiz
2025-02-04,8 KLs 10/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 2,Sitzungsplan und Beweisantraege vorbereitet
2025-02-11,8 KLs 11/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 3,Sitzungsplan und Beweisantraege vorbereitet
2025-02-18,8 KLs 12/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 4,Sitzungsplan und Beweisantraege vorbereitet
2025-03-05,8 KLs 13/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 5,Sitzungsplan und Beweisantraege vorbereitet
2025-03-12,8 KLs 14/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 6,Sitzungsplan und Beweisantraege vorbereitet
2025-03-19,8 KLs 15/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 7,Sitzungsplan und Beweisantraege vorbereitet
2025-04-09,8 KLs 16/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 1,Sitzungsplan und Beweisantraege vorbereitet
2025-04-16,8 KLs 17/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 2,Sitzungsplan und Beweisantraege vorbereitet
2025-04-23,8 KLs 18/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 3,Sitzungsplan und Beweisantraege vorbereitet
2025-05-07,8 KLs 19/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 4,Sitzungsplan und Beweisantraege vorbereitet
2025-05-14,8 KLs 20/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 5,Sitzungsplan und Beweisantraege vorbereitet
2025-06-04,8 KLs 21/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 6,Sitzungsplan und Beweisantraege vorbereitet
2025-06-11,8 KLs 22/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 7,Sitzungsplan und Beweisantraege vorbereitet
2025-06-18,8 KLs 23/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 1,Sitzungsplan und Beweisantraege vorbereitet
2025-07-02,8 KLs 24/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 2,Sitzungsplan und Beweisantraege vorbereitet
2025-07-09,8 KLs 25/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 3,Sitzungsplan und Beweisantraege vorbereitet
2025-08-20,8 KLs 26/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 4,Sitzungsplan und Beweisantraege vorbereitet
2025-08-27,8 KLs 27/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 5,Sitzungsplan und Beweisantraege vorbereitet
2025-09-03,8 KLs 28/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 6,Sitzungsplan und Beweisantraege vorbereitet
2025-09-10,8 KLs 29/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 7,Sitzungsplan und Beweisantraege vorbereitet
2025-10-01,8 KLs 30/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 1,Sitzungsplan und Beweisantraege vorbereitet
2025-10-08,8 KLs 31/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 2,Sitzungsplan und Beweisantraege vorbereitet
2025-11-05,8 KLs 32/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 3,Sitzungsplan und Beweisantraege vorbereitet
2025-11-12,8 KLs 33/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 4,Sitzungsplan und Beweisantraege vorbereitet
2025-12-03,8 KLs 34/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 5,Sitzungsplan und Beweisantraege vorbereitet
2025-12-10,8 KLs 35/25,Dr. Hilmar Degenhardt,Dr. Ottilie Mondsee,Beweisprogramm Abschnitt 6,Sitzungsplan und Beweisantraege vorbereitet
