Nr,Glaeubiger,Anschrift,Forderung_gesamt_EUR,Davon_faellig_EUR,Rang,Art_Sicherheit,Schatzwert_Sicherheit_EUR,Fortsetzungsinteresse,Gruppe_Insolvenzplan,Gruppe_StaRUG,Planquote_pct,Planrate_EUR,Kommentar
1,NordBank AG,"Heidenkampsweg 40, 20097 Hamburg",4200000,4200000,nicht nachrangig,Sicherungsuebereig. Maschinenpark + Globalzession Forderungen,3480000,hoch,Gruppe 1 (Absonderung),Klasse A,35% zzgl. Absonderungserloese,"1250000 (Sachanlage) + 962500 (Quote Restforderung)","Cram-Down moeglich nach § 245 InsO; Verhandlung 19.05.2026 offen"
2,LeasingWerk GmbH,"Amsinckstrasse 63, 20097 Hamburg",740000,38400,nicht nachrangig,Aussonderungsrecht (Leasingeigentuemer); Leasingobjekte CNC + Kran,400000,mittel,Gruppe 1 (Sonderreg.),Klasse B,50,"370000 in 2 Raten","Vertragsfortfuehrung gem. § 103 InsO; Leasingrate Rueckstand aus Masse"
3,Stahlhandel Kuefte GmbH,"Spaldingstrasse 210, 20097 Hamburg",610000,280000,nicht nachrangig,Verlaengerter Eigentumsvorbehalt Rohmaterial (geschaetzt 640 TEUR Buchwert),480000,hoch,Gruppe 2 (Lieferanten),nicht planbetroffend,60,"366000 (Plan) + 480000 (EV-Abgeltung)","EV-Abgeltung aus Tranche 1; Einigung angestrebt bis 14.06.2026"
4,Nordstahl GmbH,"Dradenaustrasse 8, 21129 Hamburg",84000,84000,nicht nachrangig,keiner,0,hoch,Gruppe 2 (Lieferanten),nicht planbetroffend,60,50400,Regulaerer Lieferant; Lieferstopp angedroht
5,Schweisstechnik Elbe GmbH,"Moellner Landstrasse 12, 22111 Hamburg",67000,67000,nicht nachrangig,keiner,0,hoch,Gruppe 2 (Lieferanten),nicht planbetroffend,60,40200,Schweissmaterial und -dienstleistungen
6,Verzinkerei Nord GmbH,"Bredowstrasse 19, 22113 Hamburg",53000,53000,nicht nachrangig,keiner,0,mittel,Gruppe 2 (Lieferanten),nicht planbetroffend,60,31800,Feuerverzinkung; Alternativanbieter verfuegbar
7,Lackierer Billbrook GmbH,"Berzeliusstrasse 22, 22113 Hamburg",38000,38000,nicht nachrangig,keiner,0,mittel,Gruppe 2 (Lieferanten),nicht planbetroffend,60,22800,Industrielackierung Montagegruppen
8,Finanzamt Hamburg-Mitte,"Steinstrasse 10, 20099 Hamburg",480000,251000,nicht nachrangig,keiner,0,mittel,Gruppe 4 (Steuern),Klasse A (bei Einbeziehung),55,264000,USt Feb/Mrz + LSt Apr; Stundungsantrag 05.05.2026 gestellt
9,Deutsche Rentenversicherung Bund,"Ruhrstrasse 2, 10709 Berlin",48000,48000,nicht nachrangig,keiner,0,neutral,Gruppe 4 (SV),nicht planbetroffend,100,48000,AG-Anteile Maerz-April; Zahlung am 30.05.2026 veranlasst
10,BEK-Hanse Krankenversicherung,"Wandsbeker Zollstrasse 84, 22041 Hamburg",14700,14700,nicht nachrangig,keiner,0,neutral,Gruppe 4 (SV),nicht planbetroffend,100,14700,AG-Anteile Mrz/Apr; aus Masse zu begleichen
11,DAK-Gesundheit,"Nagelsweg 27-35, 20097 Hamburg",3400,3400,nicht nachrangig,keiner,0,neutral,Gruppe 4 (SV),nicht planbetroffend,100,3400,AG-Anteil April; geringfuegig
12,TK - Techniker Krankenkasse,"Bramfelder Strasse 140, 22305 Hamburg",2100,2100,nicht nachrangig,keiner,0,neutral,Gruppe 4 (SV),nicht planbetroffend,100,2100,AG-Anteil April; geringfuegig
13,Hansa Beteiligungs UG,"Eppendorfer Baum 3, 20249 Hamburg",950000,0,nachrangig,keiner,0,hoch (Gesellschafterin),Gruppe 5 (Nachrang),Klasse C,0,0,Vollstaendiger Verzicht als Sanierungsbeitrag; notarielle Erklaerung bis 14.06.2026
14,InfraRail Service GmbH,"Neumarkter Strasse 2, 81673 Muenchen",0,0,Gegenforderung,-140000 (Vertragsstrafe strittig),0,hoch,nicht planbetroffend,nicht planbetroffend,,,"Gegenforderung auf Aufrechnungslage pruefen; reduziert Forderungswert gegenueber InfraRail"
15,Diverse Kleinglaeuber <5000 EUR,Hamburg und Umgebung,58000,58000,nicht nachrangig,keiner,0,gering,Gruppe 3 / Kleinglaeubiger,nicht planbetroffend,75,43500,Ca. 60 Glaeubiger; Kleinglaeubigerregelung 75% Quote
16,Uebrige Glaeubiger (5-50 TEUR),Diverse,532000,380000,nicht nachrangig,keiner,0,gering,Gruppe 3 (Uebrige),nicht planbetroffend,30,159600,Dienstleister Versicherungen sonstige
